As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,39-2051009,7,"COMMONWEALTH MORTGAGE, LLC",WOBURN,MA,01801,,,,,4391
2012,3931809996,7,MORTGAGE CLEARING CORPORATION,TULSA,OK,74105,,,,,10000
2012,41-0696318,7,UNITED FCS,WAUSAU,WI,54402-1089,,,,,10000
2012,41-1592297,7,"C.U. MORTGAGE SERVICES, INC.",NEW BRIGHTON,MN,55112,CITY & COUNTY CREDIT UNION,ST. PAUL,MN,55101,250000
2012,41-1718186,7,MORTGAGES UNLIMITED INC.,MAPLE GROVE,MN,55369,,,,,1518
2012,41-1726353,7,SUMMIT MORTGAGE CORPORATION,PLYMOUTH,MN,55441,,,,,10000
2012,41-1820555,7,RESCUE MORTGAGE INC,BLOOMINGTON,MN,55420,RESCUE MORTGAGE INC,BLOOMINGTON,MN,55420,1507
2012,41-1925607,7,TRADITION MORTGAGE,EDINA,MN,55435,,,,,10000
2012,41-1956286,7,AGSTAR FINANCIAL SERVICES,MANKATO,MN,56001,,,,,10000
2012,41-1981350,7,VALLEY MORTGAGE INC,FARGO,ND,58103,,,,,520000
2012,41-2259092,7,MCLEAN MORTGAGE CORPORATION,FAIRFAX,VA,22030,,,,,50010
2012,42-1130287,7,IOWA BANKERS MORTGAGE CORPORAT,JOHNSTON,IA,50131,,,,,10000
2012,42-1295369,7,"RESIDENTIAL MORTGAGE NETWORK,",CORALVILLE,IA,52241,,,,,10000
2012,42-1462941,7,MIDWEST FAMILY LENDING CORP.,URBANDALE,IA,50322,,,,,10000
2012,42-1554181,7,PULTE MORTGAGE LLC,ENGLEWOOD,CO,80112,PULTE HOME CORPORATION,BLOOMFIELD HILLS,MI,48304,31000
2012,42-1720343,7,"V.I.P. MORTGAGE, INC",SCOTTSDALE,AZ,85251,,,,,10000
2012,42-1739728,7,"HOMEWARD RESIDENTIAL, INC",COPPELL,TX,75019,,,,,3809880
2012,4263509992,7,LIBERTY MORTGAGE CORPORATION,ERIE,PA,16509,,,,,10000
2012,4264609991,7,ALLEGHENY MORTGAGE CORP.,WHITE OAK,PA,15131,,,,,10000
2012,4264709990,7,WEST PENN FINANCIAL,PITTSBURGH,PA,15222,,,,,10000
2012,43-0710608,7,GERSHMAN INVESTMENT CORP.,SAINT LOUIS,MO,63105,,,,,31000
2012,43-0889809,7,DELMAR FINANCIAL COMPANY,SAINT LOUIS,MO,63141,,,,,10000
